postac_a,postac_b,sila_relacji
GINGERBREAD MAN/PINOCCHIO,PUSS,4
GINGERBREAD MAN/PINOCCHIO,RUMPLESTILTSKIN,4
QUEEN,TEACHER,4
BODY,EVIL DWARF #1,4
BODY,GUARD #1,4
BODY,GUARD #2,4
MUFFIN MAN,TEACHER,4
GARY,HALL MONITOR,4
GARY,JOCKS,4
GARY,KNIGHT,4
GARY,LANCELOT,4
GARY,MABEL,4
GARY,PRINCE CHARMING,4
GARY,PRINCESSES,4
GARY,PRINCIPAL PYNCHLEY,4
BOHORT,SHIP CAPTAIN,4
GARY,RAPUNZEL,4
GARY,RUMPLESTILTSKIN,4
MUFFIN MAN,QUEEN,4
GARY,SLEEPING BEAUTY,4
GARY,SNOW WHITE,4
GARY,STUDENTS,4
GRITTED TEETH,GUINEVERRE,4
GRITTED TEETH,JOCKS,4
GRITTED TEETH,KNIGHT,4
GARY,MOTHER,4
GARY,NANNY DWARF,4
GARY,OGRE,4
GARY,OGRE BABY,4
FIONA,STUDENTS,4
FIONA,TEACHER,4
FIONA,TEENAGER,4
FIONA,TIFFANY,4
FIONA,VAN STUDENT,4
FIONA,XAVIER,4
GARY,GINGERBREAD MAN,4
MUFFIN MAN,SNOW WHITE,4
BY A MONSTER TRYING TO RELATE TO,SHREK,4
FIONA,PRINCIPAL PYNCHLEY,4
BY A MONSTER TRYING TO RELATE TO,MERLIN,4
CAPTAIN HOOK,COSTUME STUDENT 1,4
CAPTAIN HOOK,COSTUME STUDENT 2,4
CAPTAIN HOOK,DORIS,4
PUPPET MASTER,RUMPLESTILTSKIN,4
GINGERBREAD MAN/PINOCCHIO,MABEL,4
GRITTED TEETH,PIGS,4
GRITTED TEETH,PRINCE CHARMING,4
GINGERBREAD MAN/PINOCCHIO,TEENAGER,4
GINGERBREAD MAN/PINOCCHIO,TIFFANY,4
GINGERBREAD MAN/PINOCCHIO,VAN STUDENT,4
QUEEN,RAPUNZEL,4
QUEEN,RUMPLESTILTSKIN,4
QUEEN,SHIP CAPTAIN,4
GINGERBREAD MAN/PINOCCHIO,XAVIER,4
FIONA,HIS EARS,4
FIONA,JOCKS,4
FIONA,KNIGHT,4
FIONA,LANCELOT,4
FIONA,MERLIN,4
FIONA,MOTHER,4
FIONA,MUFFIN MAN,4
CAPTAIN HOOK,FEMALE STUDENT #1,4
CAPTAIN HOOK,GARY,4
CAPTAIN HOOK,GINGERBREAD MAN/PINOCCHIO,4
CAPTAIN HOOK,GRITTED TEETH,4
FIONA,OGRE,4
FIONA,OGRE BABY,4
GARY,GINGERBREAD MAN/PINOCCHIO,4
GARY,GRITTED TEETH,4
FIONA,PRINCESSES/PUSS/DONKEY,4
QUIETLY,SCRIPT,4
BODY,EVIL WITCHES,4
GRITTED TEETH,MOTHER,4
GRITTED TEETH,NANNY DWARF,4
GRITTED TEETH,OGRE,4
GRITTED TEETH,OGRE BABY,4
GRITTED TEETH,PIG #1,4
GRITTED TEETH,PIG #2,4
GRITTED TEETH,XAVIER,4
CAPTAIN HOOK,KNIGHT,4
CAPTAIN HOOK,LANCELOT,4
CAPTAIN HOOK,MERLIN,4
CAPTAIN HOOK,MOTHER,4
CAPTAIN HOOK,MUFFIN MAN,4
CAPTAIN HOOK,NANNY DWARF,4
FIONA,HALL MONITOR,4
CAPTAIN HOOK,DRIVERS ED INSTRUCTOR,4
CAPTAIN HOOK,EVIL TREES,4
PRINCIPAL PYNCHLEY,TEENAGER,4
PRINCIPAL PYNCHLEY,TIFFANY,4
PRINCIPAL PYNCHLEY,VAN STUDENT,4
PRINCIPAL PYNCHLEY,XAVIER,4
BY A MONSTER TRYING TO RELATE TO,WIZARD HEAD,4
CAPTAIN HOOK,CHEERLEADERS,4
CAPTAIN HOOK,CINDERELLA,4
CAPTAIN HOOK,JOCKS,4
GRITTED TEETH,SHIP CAPTAIN,4
GRITTED TEETH,SLEEPING BEAUTY,4
GRITTED TEETH,SNOW WHITE,4
GRITTED TEETH,STUDENTS,4
GRITTED TEETH,LANCELOT,4
GRITTED TEETH,MABEL,4
MOTHER,STUDENTS,4
RAPUNZEL,SHIP CAPTAIN,4
BODY,DONKEY,4
QUEEN,WOLF,4
CAPTAIN HOOK,TEACHER,4
CAPTAIN HOOK,GUINEVERRE,4
CAPTAIN HOOK,HALL MONITOR,4
CAPTAIN HOOK,PIGS,4
CAPTAIN HOOK,PIRATES,4
CAPTAIN HOOK,PRINCESSES,4
FEMALE STUDENT #1,SLEEPING BEAUTY,4
FEMALE STUDENT #1,SNOW WHITE,4
FEMALE STUDENT #1,STUDENTS,4
FIONA,GARY,4
FIONA,GRITTED TEETH,4
FIONA,GUINEVERRE,4
NANNY DWARF,OGRE BABY,4
